Time (ms),%CPU,%MEM
414500,0.0,0.6
415000,0.0,0.6
416000,6.6,0.6
416500,6.6,0.6
417000,0.0,0.6
418000,6.6,0.6
418500,6.6,0.6
419000,6.6,0.6
420000,0.0,0.6
420500,0.0,0.6
421000,0.0,0.6
422000,0.0,0.6
422500,0.0,0.6
423000,0.0,0.6
424000,6.6,0.6
424500,6.6,0.6
425000,0.0,0.6
426000,13.3,0.6
426500,0.0,0.6
427000,0.0,0.6
428000,6.6,0.6
428500,0.0,0.6
429000,6.6,0.6
430000,0.0,0.6
430500,6.6,0.6
431000,0.0,0.6
432000,0.0,0.6
432500,0.0,0.6
433000,0.0,0.6
434000,0.0,0.6
434500,0.0,0.6
435000,0.0,0.6
436000,0.0,0.6
436500,6.6,0.6
437000,0.0,0.6
438000,6.6,0.6
438500,6.6,0.6
439000,6.6,0.6
440000,6.6,0.6
440500,6.6,0.6
441000,0.0,0.6
442000,0.0,0.6
442500,0.0,0.6
443000,0.0,0.6
444000,6.6,0.6
444500,0.0,0.6
445000,0.0,0.6
446000,6.6,0.6
446500,6.6,0.6
447000,0.0,0.6
447500,6.6,0.6
448000,6.6,0.6
449000,6.6,0.6
449500,0.0,0.6
450000,6.6,0.6
451000,13.3,0.6
451500,0.0,0.6
452000,0.0,0.6
453000,0.0,0.6
453500,0.0,0.6
454000,0.0,0.6
455000,6.6,0.6
455500,6.6,0.6
456000,6.6,0.6
457000,0.0,0.6
457500,0.0,0.6
458000,6.6,0.6
459000,6.6,0.6
459500,6.6,0.6
460000,0.0,0.6
461000,6.6,0.6
461500,0.0,0.6
462000,0.0,0.6
463000,0.0,0.6
463500,0.0,0.6
464000,6.6,0.6
465000,6.6,0.6
465500,0.0,0.6
466000,0.0,0.6
467000,0.0,0.6
467500,6.6,0.6
468000,0.0,0.6
469000,0.0,0.6
469500,6.6,0.6
470000,6.6,0.6
471000,0.0,0.6
471500,0.0,0.6
472000,0.0,0.6
473000,0.0,0.6
473500,0.0,0.6
474000,0.0,0.6
475000,6.6,0.6
475500,6.6,0.6
476000,0.0,0.6
477000,6.6,0.6
477500,6.6,0.6
478000,6.6,0.6
479000,0.0,0.6
479500,0.0,0.6
480000,6.6,0.6
481000,6.6,0.6
481500,0.0,0.6
482000,0.0,0.6
483000,0.0,0.6
483500,0.0,0.6
484000,0.0,0.6
485000,0.0,0.6
485500,0.0,0.6
486000,6.6,0.6
487000,0.0,0.6
487500,0.0,0.6
488000,6.6,0.6
489000,6.6,0.6
489500,6.6,0.6
490000,0.0,0.6
491000,0.0,0.6
491500,0.0,0.6
492000,0.0,0.6
493000,0.0,0.6
493500,0.0,0.6
494000,0.0,0.6
494500,6.6,0.6
495000,0.0,0.6
496000,6.6,0.6
496500,6.6,0.6
497000,0.0,0.6
498000,6.6,0.6
498500,6.6,0.6
499000,6.6,0.6
500000,0.0,0.6
500500,0.0,0.6
501000,6.6,0.6
502000,0.0,0.6
502500,0.0,0.6
503000,0.0,0.6
504000,0.0,0.6
504500,6.6,0.6
505000,0.0,0.6
506000,0.0,0.6
506500,6.6,0.6
507000,0.0,0.6
508000,6.6,0.6
508500,0.0,0.6
509000,53.1,0.6
510000,0.0,0.6
510500,0.0,0.6
511000,0.0,0.6
512000,0.0,0.6
512500,0.0,0.6
513000,0.0,0.6
514000,6.6,0.6
514500,6.6,0.6
515000,6.6,0.6
516000,0.0,0.6
516500,6.6,0.6
517000,6.6,0.6
518000,0.0,0.6
518500,0.0,0.6
519000,6.6,0.6
520000,0.0,0.6
520500,6.6,0.6
521000,0.0,0.6
522000,0.0,0.6
522500,0.0,0.6
523000,0.0,0.6
524000,0.0,0.6
524500,6.6,0.6
525000,6.6,0.6
526000,0.0,0.6
526500,0.0,0.6
527000,6.6,0.6
527500,0.0,0.6
528000,0.0,0.6
529000,6.6,0.6
529500,6.6,0.6
530000,0.0,0.6
531000,0.0,0.6
531500,0.0,0.6
532000,0.0,0.6
533000,0.0,0.6
533500,0.0,0.6
534000,0.0,0.6
535000,6.6,0.6
535500,6.6,0.6
536000,0.0,0.6
537000,6.6,0.6
537500,0.0,0.6
538000,6.6,0.6
539000,6.6,0.6
539500,6.6,0.6
540000,6.6,0.6
541000,0.0,0.6
541500,0.0,0.6
542000,0.0,0.6
543000,0.0,0.6
543500,0.0,0.6
544000,0.0,0.6
545000,0.0,0.6
545500,0.0,0.6
546000,0.0,0.6
547000,0.0,0.6
547500,0.0,0.6
548000,6.6,0.6
549000,6.6,0.6
549500,6.6,0.6
550000,6.6,0.6
551000,6.6,0.6
551500,6.6,0.6
552000,0.0,0.6
553000,0.0,0.6
553500,0.0,0.6
554000,0.0,0.6
554500,6.6,0.6
555000,6.6,0.6
556000,0.0,0.6
556500,0.0,0.6
557000,0.0,0.6
558000,6.6,0.6
558500,6.6,0.6
559000,13.3,0.6
560000,0.0,0.6
560500,6.6,0.6
561000,0.0,0.6
562000,0.0,0.6
562500,0.0,0.6
563000,0.0,0.6
564000,0.0,0.6
564500,0.0,0.6
565000,0.0,0.6
566000,0.0,0.6
566500,0.0,0.6
567000,0.0,0.6
568000,6.6,0.6
568500,0.0,0.6
569000,6.6,0.6
570000,0.0,0.6
570500,0.0,0.6
571000,0.0,0.6
572000,0.0,0.6
572500,0.0,0.6
573000,0.0,0.6
574000,6.6,0.6
574500,6.6,0.6
575000,0.0,0.6
576000,0.0,0.6
576500,6.6,0.6
577000,6.6,0.6
578000,6.6,0.6
578500,0.0,0.6
579000,6.6,0.6
580000,0.0,0.6
580500,0.0,0.6
581000,6.6,0.6
582000,0.0,0.6
582500,0.0,0.6
583000,0.0,0.6
584000,0.0,0.6
584500,0.0,0.6
585000,6.6,0.6
586000,0.0,0.6
586500,6.6,0.6
587000,0.0,0.6
587500,6.6,0.6
588000,6.6,0.6
589000,6.6,0.6
589500,0.0,0.6
590000,6.6,0.6
591000,0.0,0.6
591500,0.0,0.6
592000,0.0,0.6
593000,0.0,0.6
593500,0.0,0.6
594000,6.6,0.6
595000,0.0,0.6
595500,0.0,0.6
596000,0.0,0.6
597000,0.0,0.6
597500,6.6,0.6
598000,0.0,0.6
599000,0.0,0.6
599500,6.6,0.6
600000,0.0,0.6
601000,0.0,0.6
601500,0.0,0.6
602000,0.0,0.6
603000,0.0,0.6
603500,0.0,0.6
604000,0.0,0.6
605000,6.6,0.6
605500,0.0,0.6
606000,0.0,0.6
607000,0.0,0.6
607500,0.0,0.6
608000,6.6,0.6
609000,13.3,0.6
609500,6.6,0.6
610000,6.6,0.6
